CustomerID,Name,Age,Gender,Email,City,AccountType,Balance,JoinDate,LoanStatus,Balance_PKR,Gender_Code
C1001,Ali,27,Male,user0@mail.com,Lahore,Current,0,2020-04-27,Missing,0 Rs,1
C1002,Sara,47,Male,user2@mail.com,Unknown,Unavailable,1224,2024-03-25,Pending,1224 Rs,1
C1003,Sara,56,Male,user3mail.com,Lahore,Current,48629,2022-12-11,Rejected,48629 Rs,1
C1004,Ali,41,Male,Not provided,Lahore,Current,96421,2020-07-26,Pending,96421 Rs,1
C1005,Unknown,43,Female,user5@mail.com,Karachi,Current,25222,2022-02-17,Pending,25222 Rs,0
C1006,Sara,55,Unknown,user6mail.com,Lahore,Saving,94150,2015-10-27,Pending,94150 Rs,2
C1007,Zoya,49,Unknown,user7@mail.com,Lahore,Current,55466,2017-01-07,Pending,55466 Rs,2
C1008,Sana,34,Unknown,Not provided,Karachi,Current,97574,2023-03-01,Approved,97574 Rs,2
C1009,Sana,61,Male,user9@mail.com,Lahore,Current,81053,2021-01-04,Missing,81053 Rs,1
C1010,Unknown,24,Female,Not provided,Islamabad,Saving,86352,2017-04-30,Approved,86352 Rs,0
C1011,Unknown,51,Male,Not provided,Karachi,Current,42127,2018-09-08,Rejected,42127 Rs,1
C1012,Ali,39,Male,Not provided,Lahore,Saving,7880,2024-03-01,Missing,7880 Rs,1
C1013,Ahmed,28,Female,Not provided,Lahore,Current,5458,2016-06-13,Pending,5458 Rs,0
C1014,Ali,31,Unknown,Not provided,Lahore,Current,0,2022-06-24,Pending,0 Rs,2
C1015,Sara,57,Male,user15mail.com,Karachi,Current,0,2021-03-26,Approved,0 Rs,1
C1016,Ali,39,Female,user16mail.com,Karachi,Saving,84733,2019-11-18,Rejected,84733 Rs,0
C1017,Ali,32,Female,user17mail.com,Lahore,Unavailable,91291,2021-03-17,Rejected,91291 Rs,0
C1018,Ali,27,Female,Not provided,Islamabad,Unavailable,78645,2017-09-02,Missing,78645 Rs,0
C1019,Ahmed,54,Unknown,user19@mail.com,Karachi,Current,93703,2016-08-11,Missing,93703 Rs,2
C1020,Sara,23,Female,user20@mail.com,Karachi,Unavailable,73752,2022-06-08,Approved,73752 Rs,0
C1021,Ali,53,Male,Not provided,Islamabad,Unavailable,2955,2024-05-08,Approved,2955 Rs,1
C1022,Ali,19,Male,Not provided,Unknown,Current,-80,2023-11-14,Approved,-80 Rs,1
C1023,Zoya,54,Female,user23mail.com,Karachi,Unavailable,28883,2019-03-04,Rejected,28883 Rs,0
C1024,Unknown,28,Female,Not provided,Karachi,Saving,32413,2016-02-19,Missing,32413 Rs,0
C1025,Ahmed,36,Unknown,user25mail.com,Karachi,Saving,63541,2017-10-26,Rejected,63541 Rs,2
C1026,Zoya,49,Female,Not provided,Lahore,Saving,60857,2024-02-22,Rejected,60857 Rs,0
C1027,Unknown,54,Male,user27mail.com,Unknown,Unavailable,0,2018-09-18,Missing,0 Rs,1
C1028,Sana,50,Female,user28mail.com,Lahore,Unavailable,61967,2023-11-15,Rejected,61967 Rs,0
C1029,Unknown,34,Male,Not provided,Unknown,Saving,53430,2015-12-06,Missing,53430 Rs,1
C1030,Ali,59,Male,user30@mail.com,Karachi,Saving,69705,2019-07-04,Rejected,69705 Rs,1
C1031,Zoya,37,Male,Not provided,Unknown,Unavailable,38552,2024-01-24,Pending,38552 Rs,1
C1032,Unknown,63,Female,user32@mail.com,Lahore,Unavailable,81157,2018-01-24,Missing,81157 Rs,0
C1033,Zoya,18,Male,user33mail.com,Lahore,Saving,55945,2024-11-13,Rejected,55945 Rs,1
C1034,Unknown,55,Female,Not provided,Unknown,Current,56510,2015-12-14,Rejected,56510 Rs,0
C1035,Ali,32,Female,user35@mail.com,Karachi,Current,83306,2018-07-30,Approved,83306 Rs,0
C1036,Ali,42,Male,Not provided,Islamabad,Saving,0,2015-02-12,Rejected,0 Rs,1
C1037,Ahmed,35,Male,Not provided,Unknown,Current,58533,2016-06-26,Pending,58533 Rs,1
C1038,Zoya,27,Male,user38mail.com,Lahore,Current,59080,2024-12-09,Rejected,59080 Rs,1
C1039,Zoya,35,Male,Not provided,Karachi,Saving,31107,2019-02-26,Approved,31107 Rs,1
C1040,Unknown,34,Male,user40mail.com,Lahore,Saving,81742,2015-08-25,Missing,81742 Rs,1
C1041,Sana,42,Male,user41@mail.com,Unknown,Unavailable,72239,2018-02-21,Rejected,72239 Rs,1
C1042,Ahmed,61,Male,Not provided,Islamabad,Saving,97242,2021-10-06,Missing,97242 Rs,1
C1043,Sara,58,Male,user43mail.com,Karachi,Saving,90562,2023-10-01,Approved,90562 Rs,1
