CustomerID,Name,Age,Gender,Email,City,AccountType,Balance,JoinDate,LoanStatus
C1001,Ali,27.0,Male,user0@mail.com,Lahore,Current ,,2020-04-27,
C1001,Ali,19.0,F,,Karachi,Current ,636873.0,2024-05-05,Rejected
C1002,Sara,47.0,Male,user2@mail.com,,,1224.0,2024-03-25,Pending
C1003,Sara,56.0,male,user3mail.com,Lahore ,Current ,48629.0,2022-12-11,Rejected
C1004,Ali,41.0,Male,,Lahore,Current,96421.0,2020-07-26,Pending
C1005,,43.0,Female,user5@mail.com,Karachi,Current,25222.0,2022-02-17,Pending
C1006,Sara,55.0,,user6mail.com,Lahore ,saving,94150.0,2015-10-27,Pending
C1007,Zoya,49.0,,user7@mail.com,Lahore,Current ,55466.0,2017-01-07,Pending
C1008,Sana,34.0,,,Karachi,Current,97574.0,2023-03-01,Approved
C1009,Sana,61.0,male,user9@mail.com,Lahore,Current,81053.0,2021-01-04,
C1010,,24.0,Female,,Islamabad,saving,86352.0,2017-04-30,approved
C1011,,51.0,male,,Karachi,Current ,42127.0,2018-09-08,Rejected
C1012,Ali,39.0,male,,Lahore,Saving,7880.0,2024-03-01,
C1013,Ahmed,28.0,Female,,Lahore,Current ,5458.0,2016-06-13,Pending
C1014,Ali,31.0,,,Lahore ,Current ,,2022-06-24,Pending
C1015,Sara,57.0,M,user15mail.com,Karachi,Current ,,2021-03-26,Approved
C1016,Ali ,39.0,F,user16mail.com,Karachi,Saving,84733.0,2019-11-18,Rejected
C1017,Ali ,32.0,Female,user17mail.com,Lahore,,91291.0,2021-03-17,Rejected
C1018,Ali ,27.0,F,,Islamabad,,78645.0,2017-09-02,
C1019,Ahmed,54.0,,user19@mail.com,Karachi,Current,93703.0,2016-08-11,
C1020,Sara,23.0,F,user20@mail.com,Karachi,,73752.0,2022-06-08,approved
C1021,Ali ,53.0,male,,Islamabad,,2955.0,2024-05-08,approved
C1022,Ali,19.0,male,,,Current ,-80.0,2023-11-14,approved
C1023,Zoya,54.0,F,user23mail.com,Karachi,,28883.0,2019-03-04,Rejected
C1024,,28.0,F,,Karachi,saving,32413.0,2016-02-19,
C1025,Ahmed,36.0,,user25mail.com,Karachi,Saving,63541.0,2017-10-26,Rejected
C1026,Zoya,49.0,F,,Lahore,saving,60857.0,2024-02-22,Rejected
C1027,,54.0,M,user27mail.com,,,,2018-09-18,
C1028,Sana,50.0,Female,user28mail.com,Lahore,,61967.0,2023-11-15,Rejected
C1029,,34.0,M,,,Saving,53430.0,2015-12-06,
C1030,Ali ,59.0,male,user30@mail.com,Karachi,Saving,69705.0,2019-07-04,Rejected
C1031,Zoya,37.0,male,,,,38552.0,2024-01-24,Pending
C1032,,63.0,Female,user32@mail.com,Lahore ,,81157.0,2018-01-24,
C1033,Zoya,18.0,M,user33mail.com,Lahore,saving,55945.0,2024-11-13,Rejected
C1034,,55.0,F,,,Current ,56510.0,2015-12-14,Rejected
C1035,Ali ,32.0,F,user35@mail.com,Karachi,Current,83306.0,2018-07-30,approved
C1036,Ali,42.0,Male,,Islamabad,saving,,2015-02-12,Rejected
C1037,Ahmed,35.0,male,,,Current,58533.0,2016-06-26,Pending
C1038,Zoya,27.0,M,user38mail.com,Lahore ,Current,59080.0,2024-12-09,Rejected
C1039,Zoya,35.0,male,,Karachi,saving,31107.0,2019-02-26,Approved
C1040,,34.0,Male,user40mail.com,Lahore ,Saving,81742.0,2015-08-25,
C1041,Sana,42.0,male,user41@mail.com,,,72239.0,2018-02-21,Rejected
C1042,Ahmed,61.0,male,,Islamabad,saving,97242.0,2021-10-06,
C1043,Sara,58.0,male,user43mail.com,Karachi,saving,90562.0,2023-10-01,approved
C1044,,19.0,,user44@mail.com,Islamabad,Current ,38687.0,2020-02-19,
C1045,Sara,49.0,M,user45mail.com,Lahore,Current,55934.0,2024-03-27,Rejected
C1046,Sara,32.0,,,Lahore ,Current,58969.0,2023-11-30,Pending
C1047,Sana,64.0,M,,,,42380.0,2021-01-13,Approved
C1048,Ahmed,47.0,male,user48@mail.com,Lahore,Saving,31261.0,2022-04-09,approved
C1049,,29.0,Female,user49mail.com,Karachi,saving,94024.0,2023-09-30,approved
C1050,Zoya,50.0,F,user50@mail.com,Karachi,,43444.0,2019-10-30,approved
C1051,Zoya,24.0,male,user51@mail.com,Islamabad,,72919.0,2015-01-22,Rejected
C1052,Sana,62.0,Female,user52@mail.com,Lahore ,Saving,16174.0,2017-02-16,Approved
C1053,Ahmed,46.0,male,,Lahore,Current,85000.0,2017-04-11,Approved
C1054,Sara,53.0,Male,user54mail.com,Lahore,Current ,33908.0,2017-11-06,approved
C1055,Ali,57.0,F,user55mail.com,,,86720.0,2022-12-30,Approved
C1056,Ali,41.0,male,user56mail.com,Lahore ,,5607.0,2022-12-24,Rejected
C1057,Ali ,47.0,Female,,,Current ,56766.0,2022-05-25,Pending
C1058,Zoya,54.0,Female,user58@mail.com,Lahore ,Saving,39201.0,2020-02-27,Approved
C1059,Ali ,34.0,,,Lahore,Saving,50329.0,2017-07-31,approved
C1060,Sara,48.0,M,user60mail.com,Lahore,Current ,61994.0,2021-02-09,Approved
C1061,Ahmed,33.0,,user61@mail.com,Lahore,Current,6588.0,2019-03-03,Rejected
C1062,Sara,47.0,,,,saving,28849.0,2018-05-24,approved
C1063,Sara,64.0,,,Karachi,Current ,89954.0,2019-04-11,Pending
C1064,Zoya,54.0,,user64mail.com,Lahore ,Current ,89900.0,2023-03-04,
C1065,Ahmed,19.0,male,,Lahore,Current,47809.0,2020-05-10,approved
C1066,Zoya,52.0,M,user66@mail.com,Islamabad,Saving,50700.0,2015-05-31,Pending
C1067,,19.0,Female,user67mail.com,Lahore ,,,2018-01-14,Approved
C1068,Ahmed,19.0,Male,user68@mail.com,Islamabad,,93084.0,2021-02-22,Rejected
C1069,Ahmed,36.0,Female,,Islamabad,saving,39870.0,2017-04-08,Rejected
C1070,Sara,49.0,Female,,Karachi,Saving,82106.0,2020-06-10,Approved
C1071,Ali,38.0,F,user71@mail.com,Islamabad,Current,62808.0,2020-03-08,Rejected
C1072,Ali,39.0,male,user72mail.com,,Current ,99770.0,2017-03-31,Pending
C1073,Ali,34.0,M,user73@mail.com,Karachi,Current ,83984.0,2021-06-08,Approved
C1074,,36.0,Male,user74@mail.com,Karachi,saving,21745.0,2020-12-15,approved
C1075,Sara,31.0,Female,user75@mail.com,Karachi,,91691.0,2022-08-22,Pending
C1076,Ahmed,40.0,,user76@mail.com,Lahore,saving,71260.0,2021-06-14,approved
C1077,Sana,46.0,male,user77@mail.com,Karachi,Current ,59458.0,2023-12-28,Pending
C1078,Sara,30.0,male,,,Current,,2024-04-14,
C1079,Zoya,33.0,male,user79@mail.com,Karachi,,24459.0,2016-07-02,approved
C1080,Sana,58.0,male,user80@mail.com,Lahore ,saving,42109.0,2021-04-10,approved
C1081,Zoya,35.0,M,,Islamabad,Current,98622.0,2021-11-16,Pending
C1082,Sara,53.0,,user82mail.com,,,23586.0,2020-08-19,Approved
C1083,Ali,41.0,M,,Islamabad,Current,33045.0,2016-10-14,Approved
C1084,Zoya,36.0,,user84@mail.com,Islamabad,,22315.0,2018-10-03,Pending
C1085,Sana,40.0,male,user85mail.com,Karachi,Saving,69095.0,2021-08-30,Approved
C1086,Ali,38.0,,user86mail.com,Lahore ,Saving,32750.0,2015-12-26,
C1087,,26.0,male,user87@mail.com,Lahore,Current ,22399.0,2019-01-15,Rejected
C1088,Sara,34.0,male,,Islamabad,Current ,,2017-09-11,approved
C1089,Ali ,28.0,M,user89mail.com,Lahore ,saving,82245.0,2020-09-01,Approved
